qf,Approach,estimate__,lower__,upper__
0.5695790958356811,FTLR,0.3722474180140132,0.3401445721062592,0.4043648336129935
0.5695790958356811,LiSSA,0.3969891814146835,0.3653070659888259,0.42943611806311693
0.5695790958356811,IR,0.2976447740045238,0.268454320411706,0.3279432642874449
0.5695790958356811,VSM,0.3620035041008378,0.3281140919377992,0.3967107684445512
0.5695790958356811,LSI,0.38197808506677416,0.34854081514737234,0.4153469268740007
0.610849228342227,FTLR,0.37203548057477065,0.3396181111930588,0.4046341535981723
0.610849228342227,LiSSA,0.3970912867258069,0.3649074678916676,0.4298530849896936
0.610849228342227,IR,0.297296683684127,0.2676388561910427,0.3280137137957997
0.610849228342227,VSM,0.3625950300257075,0.32827512440670137,0.397356019666821
0.610849228342227,LSI,0.3816503986724018,0.3481580410584914,0.415425919445134
0.6521193608487729,FTLR,0.37179467607492944,0.33888448204224164,0.4046812550383229
0.6521193608487729,LiSSA,0.3972279743418612,0.3647687876271393,0.4302819830202135
0.6521193608487729,IR,0.2969174067605659,0.2669162484698197,0.3279405622007265
0.6521193608487729,VSM,0.36310816426820314,0.3285258131370099,0.39807970518956637
0.6521193608487729,LSI,0.38136580466458603,0.34745661040073506,0.4153133642096499
0.6933894933553185,FTLR,0.37152643547736364,0.33836212486501377,0.4048601955422996
0.6933894933553185,LiSSA,0.39725974377523754,0.3645283546644796,0.4306079074700997
0.6933894933553185,IR,0.29656520456340496,0.26612903717477965,0.3280110404021657
0.6933894933553185,VSM,0.3636417770365967,0.32872633436720144,0.3991341282440315
0.6933894933553185,LSI,0.3810087552291394,0.34676312936176773,0.4153859241022775
0.7346596258618642,FTLR,0.37127415177918394,0.3376720143547045,0.40494144231619683
0.7346596258618642,LiSSA,0.39740196958204643,0.3641761464863139,0.4310691648550565
0.7346596258618642,IR,0.29616864996112124,0.2651519710556947,0.32798394681821663
0.7346596258618642,VSM,0.3642300741732025,0.3288532630064317,0.4001309604861033
0.7346596258618642,LSI,0.38067731217523926,0.3460205290729118,0.415400205861837
0.77592975836841,FTLR,0.37102782110996074,0.3369689416768768,0.40509558672848517
0.77592975836841,LiSSA,0.39748299256417874,0.36397669492472945,0.4316105750116349
0.77592975836841,IR,0.2957755417978937,0.26449572731918636,0.3279306512454291
0.77592975836841,VSM,0.3647841453017937,0.3289590296663945,0.4011552695820935
0.77592975836841,LSI,0.3803242752790502,0.3451979250712659,0.41548806576115316
0.8171998908749559,FTLR,0.37076576953361223,0.3361336105382852,0.4051885174417048
0.8171998908749559,LiSSA,0.39756136094981553,0.3637123346579213,0.4320669887517557
0.8171998908749559,IR,0.2953822643502988,0.2636617437761768,0.3279774522727958
0.8171998908749559,VSM,0.36531633179731526,0.32912358747189063,0.4020100284519799
0.8171998908749559,LSI,0.37996790313609924,0.3443720567400715,0.415481651848755
0.8584700233815016,FTLR,0.3705380406325183,0.3354053652713865,0.40545566006538825
0.8584700233815016,LiSSA,0.39766842121913215,0.3634254093329995,0.432557024919756
0.8584700233815016,IR,0.2949961869859582,0.262857887003217,0.32799308682992256
0.8584700233815016,VSM,0.3659081167711337,0.32919615913708894,0.40284178616933014
0.8584700233815016,LSI,0.3796029783119147,0.3434969407662722,0.41547919257216986
0.8997401558880472,FTLR,0.37033201133547555,0.334758413478638,0.40560713463087794
0.8997401558880472,LiSSA,0.3977691981201078,0.36303088443185794,0.43303170620891784
0.8997401558880472,IR,0.29463813190772015,0.26196296814073516,0.3282247373939121
0.8997401558880472,VSM,0.36639444274378286,0.32931720937907477,0.4039153587612946
0.8997401558880472,LSI,0.37927873959098546,0.3425997839487021,0.4154174888248815
0.9410102883945931,FTLR,0.37010330865590857,0.33406821009919685,0.4057448664308804
0.9410102883945931,LiSSA,0.39783747847146417,0.36264206183275477,0.4335761358985925
0.9410102883945931,IR,0.2943112303340075,0.261134563480822,0.32824631912613494
0.9410102883945931,VSM,0.36693850654555255,0.32934444148620867,0.4049669063757713
0.9410102883945931,LSI,0.3789422779558217,0.3417657768591968,0.41554243820852454
0.982280420901139,FTLR,0.36986640401187687,0.33330230604312927,0.40584142690663844
0.982280420901139,LiSSA,0.39794913538523086,0.362280812011943,0.4340978992359639
0.982280420901139,IR,0.2939613833249727,0.26029512120012416,0.32834935004128496
0.982280420901139,VSM,0.3674729657752468,0.3293250926607999,0.4058613447861514
0.982280420901139,LSI,0.378669285449313,0.34097337804282507,0.4157654788347842
1.0235505534076847,FTLR,0.3696613126520687,0.33259237353951515,0.40614545452574985
1.0235505534076847,LiSSA,0.39811646027171244,0.3620470839184254,0.43453076543494173
1.0235505534076847,IR,0.2935633523790649,0.25939939816695046,0.3284151677132927
1.0235505534076847,VSM,0.3680274186514475,0.32927648701453827,0.4067474321795545
1.0235505534076847,LSI,0.3783470991667846,0.3400629454585569,0.41593742059614414
1.0648206859142304,FTLR,0.3693912122276678,0.33173042684653414,0.4064203094694204
1.0648206859142304,LiSSA,0.39822189199848435,0.3617991282605475,0.43499156530573263
1.0648206859142304,IR,0.2931874956167817,0.2584596131325987,0.3284483524018712
1.0648206859142304,VSM,0.3685728007968935,0.3293153313892046,0.40772754735105293
1.0648206859142304,LSI,0.3779971998477417,0.33917365689148965,0.415915355309111
1.106090818420776,FTLR,0.36918524792494756,0.33092427229696053,0.40673979389881765
1.106090818420776,LiSSA,0.39832469552264105,0.3613294956757045,0.43564678668857604
